"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",44,0
"A_Rspct","~","A_Rspctlag",44,0
"A_Trust","~","A_Trustlag",44,0
"C_Org","~","C_Orglag",44,0
"C_Prdctv","~","C_Prdctvlag",44,0
"C_Rspnbl","~","C_Rspnbllag",44,0
"E_Assert","~","E_Assertlag",44,0
"E_EnerLev","~","E_EnerLevlag",44,0
"E_Scblty","~","E_Scbltylag",44,0
"N_Anxty","~","N_Anxtylag",44,0
"N_Depr","~","N_Deprlag",44,0
"N_EmoVol","~","N_EmoVollag",44,0
"O_AesSens","~","O_AesSenslag",44,0
"O_CrtvImag","~","O_CrtvImaglag",44,0
"O_IntCur","~","O_IntCurlag",44,0
"E_EnerLev","~","E_Scblty",0,19
"N_EmoVol","~","N_Depr",0,17
"E_Scblty","~","E_EnerLev",0,15
"N_Depr","~","N_Anxty",0,15
"C_Prdctv","~","C_Rspnbl",0,14
"E_Scblty","~","E_Assert",0,13
"C_Rspnbl","~","A_Cmpn",0,12
"C_Rspnbl","~","C_Prdctv",0,12
"N_EmoVol","~","C_Prdctv",0,12
"N_EmoVol","~","O_CrtvImag",0,12
"C_Rspnbl","~","C_Org",0,11
"N_EmoVol","~","N_Anxty",0,11
"N_Anxty","~","N_Depr",0,11
"E_Assert","~","O_IntCur",0,11
"A_Trust","~","A_Cmpn",0,10
"A_Rspct","~","C_Prdctvlag",0,10
"C_Prdctv","~","E_EnerLev",0,10
"C_Rspnbl","~","E_EnerLev",0,10
"A_Rspct","~","A_Cmpn",0,9
"A_Cmpn","~","A_Trust",0,9
"O_IntCur","~","C_Prdctv",0,9
"E_Assert","~","E_Scblty",0,9
"N_Depr","~","E_Scblty",0,9
"E_Scblty","~","N_Depr",0,9
"E_EnerLev","~","A_Rspctlag",0,8
"E_Scblty","~","A_Trust",0,8
"E_Assert","~","A_Trustlag",0,8
"N_EmoVol","~","A_Trustlag",0,8
"C_Prdctv","~","C_Org",0,8
"N_Depr","~","C_Rspnbl",0,8
"A_Cmpn","~","C_Rspnbllag",0,8
"E_Scblty","~","E_Assertlag",0,8
"N_EmoVol","~","E_EnerLevlag",0,8
"N_EmoVol","~","N_Deprlag",0,8
"A_Rspct","~","N_EmoVol",0,8
"A_Trust","~","N_EmoVol",0,8
"E_EnerLev","~","O_CrtvImag",0,8
"N_EmoVol","~","O_CrtvImaglag",0,8
"A_Cmpn","~","O_IntCurlag",0,8
"O_CrtvImag","~","O_IntCurlag",0,8
"E_Assert","~","A_Cmpn",0,7
"C_Rspnbl","~","A_Cmpnlag",0,7
"O_AesSens","~","A_Cmpnlag",0,7
"A_Rspct","~","A_Trust",0,7
"N_EmoVol","~","A_Trust",0,7
"N_EmoVol","~","C_Org",0,7
"C_Org","~","C_Prdctv",0,7
"N_Depr","~","C_Prdctv",0,7
"E_EnerLev","~","C_Prdctvlag",0,7
"O_CrtvImag","~","C_Prdctvlag",0,7
"C_Org","~","C_Rspnbl",0,7
"A_Cmpn","~","E_EnerLev",0,7
"N_Depr","~","E_EnerLev",0,7
"A_Rspct","~","E_EnerLevlag",0,7
"A_Rspct","~","E_Scblty",0,7
"A_Rspct","~","E_Scbltylag",0,7
"A_Cmpn","~","N_Depr",0,7
"C_Prdctv","~","N_Depr",0,7
"O_AesSens","~","N_Depr",0,7
"O_CrtvImag","~","N_Depr",0,7
"A_Trust","~","N_Deprlag",0,7
"N_Anxty","~","N_EmoVol",0,7
"N_Depr","~","N_EmoVol",0,7
"E_Scblty","~","O_AesSenslag",0,7
"N_EmoVol","~","O_AesSenslag",0,7
"E_EnerLev","~","O_CrtvImaglag",0,7
"C_Rspnbl","~","O_IntCurlag",0,7
"N_Depr","~","O_IntCurlag",0,7
"N_EmoVol","~","A_Cmpn",0,6
"O_AesSens","~","A_Cmpn",0,6
"N_Depr","~","A_Cmpnlag",0,6
"N_EmoVol","~","A_Cmpnlag",0,6
"O_CrtvImag","~","A_Rspct",0,6
"C_Rspnbl","~","A_Rspctlag",0,6
"N_EmoVol","~","A_Rspctlag",0,6
"O_AesSens","~","A_Trustlag",0,6
"E_EnerLev","~","C_Org",0,6
"E_Assert","~","C_Orglag",0,6
"N_EmoVol","~","C_Orglag",0,6
"O_AesSens","~","C_Orglag",0,6
"E_EnerLev","~","C_Prdctv",0,6
"E_Assert","~","C_Prdctvlag",0,6
"E_Scblty","~","C_Prdctvlag",0,6
"A_Cmpn","~","C_Rspnbl",0,6
"A_Trust","~","C_Rspnbllag",0,6
"N_Depr","~","C_Rspnbllag",0,6
"N_EmoVol","~","C_Rspnbllag",0,6
"O_AesSens","~","C_Rspnbllag",0,6
"E_EnerLev","~","E_Assert",0,6
"N_EmoVol","~","E_Assertlag",0,6
"O_CrtvImag","~","E_EnerLev",0,6
"C_Rspnbl","~","E_EnerLevlag",0,6
"E_Scblty","~","E_EnerLevlag",0,6
"O_AesSens","~","E_EnerLevlag",0,6
"C_Org","~","E_Scbltylag",0,6
"C_Rspnbl","~","E_Scbltylag",0,6
"O_AesSens","~","E_Scbltylag",0,6
"A_Cmpn","~","N_Anxty",0,6
"A_Trust","~","N_Anxty",0,6
"E_Scblty","~","N_Anxty",0,6
"C_Org","~","N_Anxtylag",0,6
"C_Rspnbl","~","N_Anxtylag",0,6
"A_Cmpn","~","N_Deprlag",0,6
"A_Rspct","~","N_EmoVollag",0,6
"A_Rspct","~","O_AesSenslag",0,6
"C_Org","~","O_AesSenslag",0,6
"A_Rspct","~","O_CrtvImag",0,6
"C_Rspnbl","~","O_CrtvImag",0,6
"O_AesSens","~","O_CrtvImaglag",0,6
"C_Org","~","O_IntCur",0,6
"E_EnerLev","~","O_IntCur",0,6
"E_Assert","~","O_IntCurlag",0,6
"E_EnerLev","~","O_IntCurlag",0,6
"C_Prdctv","~","A_Cmpn",0,5
"E_Assert","~","A_Cmpnlag",0,5
"E_EnerLev","~","A_Cmpnlag",0,5
"A_Trust","~","A_Rspct",0,5
"E_Assert","~","A_Rspct",0,5
"E_EnerLev","~","A_Rspct",0,5
"N_Anxty","~","A_Rspct",0,5
"A_Cmpn","~","A_Rspctlag",0,5
"A_Trust","~","A_Rspctlag",0,5
"C_Prdctv","~","A_Rspctlag",0,5
"E_Scblty","~","A_Rspctlag",0,5
"O_CrtvImag","~","A_Rspctlag",0,5
"C_Rspnbl","~","A_Trust",0,5
"E_EnerLev","~","A_Trust",0,5
"C_Rspnbl","~","A_Trustlag",0,5
"E_EnerLev","~","A_Trustlag",0,5
"E_Scblty","~","A_Trustlag",0,5
"N_Depr","~","A_Trustlag",0,5
"O_IntCur","~","C_Org",0,5
"A_Rspct","~","C_Orglag",0,5
"E_Scblty","~","C_Orglag",0,5
"E_Assert","~","C_Prdctv",0,5
"O_AesSens","~","C_Prdctv",0,5
"O_AesSens","~","C_Prdctvlag",0,5
"A_Rspct","~","C_Rspnbl",0,5
"E_Assert","~","C_Rspnbl",0,5
"O_AesSens","~","C_Rspnbl",0,5
"E_Assert","~","C_Rspnbllag",0,5
"N_Anxty","~","C_Rspnbllag",0,5
"C_Prdctv","~","E_Assert",0,5
"N_EmoVol","~","E_Assert",0,5
"O_IntCur","~","E_Assert",0,5
"C_Rspnbl","~","E_Assertlag",0,5
"N_Anxty","~","E_Assertlag",0,5
"A_Trust","~","E_EnerLev",0,5
"C_Org","~","E_EnerLev",0,5
"N_Anxty","~","E_EnerLevlag",0,5
"A_Cmpn","~","E_Scblty",0,5
"C_Prdctv","~","E_Scblty",0,5
"C_Rspnbl","~","E_Scblty",0,5
"E_Assert","~","E_Scbltylag",0,5
"N_EmoVol","~","E_Scbltylag",0,5
"C_Rspnbl","~","N_Anxty",0,5
"O_CrtvImag","~","N_Anxty",0,5
"E_Assert","~","N_Anxtylag",0,5
"E_EnerLev","~","N_Anxtylag",0,5
"E_Scblty","~","N_Anxtylag",0,5
"N_EmoVol","~","N_Anxtylag",0,5
"A_Rspct","~","N_Depr",0,5
"A_Trust","~","N_Depr",0,5
"E_EnerLev","~","N_Depr",0,5
"C_Rspnbl","~","N_Deprlag",0,5
"E_Scblty","~","N_Deprlag",0,5
"C_Rspnbl","~","N_EmoVol",0,5
"O_IntCur","~","N_EmoVol",0,5
"C_Org","~","N_EmoVollag",0,5
"C_Rspnbl","~","N_EmoVollag",0,5
"E_EnerLev","~","N_EmoVollag",0,5
"O_AesSens","~","N_EmoVollag",0,5
"N_EmoVol","~","O_AesSens",0,5
"O_CrtvImag","~","O_AesSens",0,5
"A_Cmpn","~","O_AesSenslag",0,5
"C_Rspnbl","~","O_AesSenslag",0,5
"E_EnerLev","~","O_AesSenslag",0,5
"A_Cmpn","~","O_CrtvImag",0,5
"A_Trust","~","O_CrtvImag",0,5
"O_IntCur","~","O_CrtvImag",0,5
"E_Assert","~","O_CrtvImaglag",0,5
"E_Scblty","~","O_CrtvImaglag",0,5
"N_Depr","~","O_CrtvImaglag",0,5
"E_Scblty","~","O_IntCur",0,5
"N_EmoVol","~","O_IntCur",0,5
"O_CrtvImag","~","O_IntCur",0,5
"A_Rspct","~","O_IntCurlag",0,5
"E_Scblty","~","O_IntCurlag",0,5
"C_Org","~","A_Cmpn",0,4
"O_CrtvImag","~","A_Cmpn",0,4
"O_IntCur","~","A_Cmpn",0,4
"A_Trust","~","A_Cmpnlag",0,4
"C_Prdctv","~","A_Cmpnlag",0,4
"E_Scblty","~","A_Cmpnlag",0,4
"A_Cmpn","~","A_Rspct",0,4
"C_Org","~","A_Rspct",0,4
"N_Depr","~","A_Rspct",0,4
"C_Prdctv","~","A_Trust",0,4
"N_Anxty","~","A_Trust",0,4
"N_Depr","~","A_Trust",0,4
"A_Rspct","~","A_Trustlag",0,4
"C_Org","~","A_Trustlag",0,4
"C_Prdctv","~","A_Trustlag",0,4
"O_CrtvImag","~","A_Trustlag",0,4
"A_Rspct","~","C_Org",0,4
"E_Assert","~","C_Org",0,4
"O_AesSens","~","C_Org",0,4
"A_Cmpn","~","C_Orglag",0,4
"A_Trust","~","C_Orglag",0,4
"N_Anxty","~","C_Orglag",0,4
"O_CrtvImag","~","C_Orglag",0,4
"O_CrtvImag","~","C_Prdctv",0,4
"A_Cmpn","~","C_Prdctvlag",0,4
"C_Org","~","C_Prdctvlag",0,4
"N_Anxty","~","C_Rspnbl",0,4
"N_EmoVol","~","C_Rspnbl",0,4
"O_CrtvImag","~","C_Rspnbl",0,4
"O_IntCur","~","C_Rspnbl",0,4
"C_Prdctv","~","C_Rspnbllag",0,4
"A_Rspct","~","E_Assert",0,4
"A_Trust","~","E_Assert",0,4
"C_Org","~","E_Assert",0,4
"C_Rspnbl","~","E_Assert",0,4
"O_CrtvImag","~","E_Assert",0,4
"N_Depr","~","E_Assertlag",0,4
"A_Rspct","~","E_EnerLev",0,4
"N_Anxty","~","E_EnerLev",0,4
"N_EmoVol","~","E_EnerLev",0,4
"O_IntCur","~","E_EnerLev",0,4
"C_Org","~","E_EnerLevlag",0,4
"N_Depr","~","E_EnerLevlag",0,4
"N_Anxty","~","E_Scblty",0,4
"O_IntCur","~","E_Scblty",0,4
"A_Trust","~","E_Scbltylag",0,4
"A_Rspct","~","N_Anxty",0,4
"C_Org","~","N_Anxty",0,4
"E_EnerLev","~","N_Anxty",0,4
"O_AesSens","~","N_Anxty",0,4
"A_Cmpn","~","N_Anxtylag",0,4
"A_Trust","~","N_Anxtylag",0,4
"N_Depr","~","N_Anxtylag",0,4
"O_CrtvImag","~","N_Anxtylag",0,4
"C_Rspnbl","~","N_Depr",0,4
"E_Assert","~","N_Depr",0,4
"E_Assert","~","N_Deprlag",0,4
"E_EnerLev","~","N_Deprlag",0,4
"N_Anxty","~","N_Deprlag",0,4
"O_CrtvImag","~","N_EmoVol",0,4
"O_IntCur","~","N_EmoVollag",0,4
"A_Rspct","~","O_AesSens",0,4
"E_Scblty","~","O_AesSens",0,4
"A_Trust","~","O_AesSenslag",0,4
"N_Depr","~","O_AesSenslag",0,4
"O_CrtvImag","~","O_AesSenslag",0,4
"E_Scblty","~","O_CrtvImag",0,4
"N_Anxty","~","O_CrtvImag",0,4
"C_Rspnbl","~","O_CrtvImaglag",0,4
"A_Cmpn","~","O_IntCur",0,4
"O_AesSens","~","O_IntCur",0,4
"A_Trust","~","O_IntCurlag",0,4
"O_AesSens","~","O_IntCurlag",0,4
"E_Scblty","~","A_Cmpn",0,3
"N_Anxty","~","A_Cmpn",0,3
"N_Depr","~","A_Cmpn",0,3
"C_Org","~","A_Cmpnlag",0,3
"O_CrtvImag","~","A_Cmpnlag",0,3
"O_IntCur","~","A_Cmpnlag",0,3
"N_EmoVol","~","A_Rspct",0,3
"O_AesSens","~","A_Rspct",0,3
"O_IntCur","~","A_Rspct",0,3
"E_Assert","~","A_Rspctlag",0,3
"O_AesSens","~","A_Rspctlag",0,3
"O_IntCur","~","A_Rspctlag",0,3
"E_Assert","~","A_Trust",0,3
"O_CrtvImag","~","A_Trust",0,3
"A_Cmpn","~","A_Trustlag",0,3
"N_Anxty","~","A_Trustlag",0,3
"A_Cmpn","~","C_Org",0,3
"A_Trust","~","C_Org",0,3
"E_Scblty","~","C_Org",0,3
"N_Depr","~","C_Org",0,3
"C_Rspnbl","~","C_Orglag",0,3
"N_Depr","~","C_Orglag",0,3
"A_Cmpn","~","C_Prdctv",0,3
"A_Rspct","~","C_Prdctv",0,3
"E_Scblty","~","C_Prdctv",0,3
"N_Anxty","~","C_Prdctv",0,3
"C_Rspnbl","~","C_Prdctvlag",0,3
"N_EmoVol","~","C_Prdctvlag",0,3
"O_IntCur","~","C_Prdctvlag",0,3
"E_EnerLev","~","C_Rspnbl",0,3
"E_Scblty","~","C_Rspnbl",0,3
"A_Rspct","~","C_Rspnbllag",0,3
"C_Org","~","C_Rspnbllag",0,3
"E_EnerLev","~","C_Rspnbllag",0,3
"E_Scblty","~","C_Rspnbllag",0,3
"A_Cmpn","~","E_Assert",0,3
"A_Cmpn","~","E_Assertlag",0,3
"A_Rspct","~","E_Assertlag",0,3
"C_Org","~","E_Assertlag",0,3
"E_EnerLev","~","E_Assertlag",0,3
"O_AesSens","~","E_Assertlag",0,3
"E_Assert","~","E_EnerLev",0,3
"C_Prdctv","~","E_EnerLevlag",0,3
"E_Assert","~","E_EnerLevlag",0,3
"O_CrtvImag","~","E_EnerLevlag",0,3
"A_Trust","~","E_Scblty",0,3
"C_Org","~","E_Scblty",0,3
"N_EmoVol","~","E_Scblty",0,3
"O_AesSens","~","E_Scblty",0,3
"O_CrtvImag","~","E_Scblty",0,3
"A_Cmpn","~","E_Scbltylag",0,3
"N_Depr","~","E_Scbltylag",0,3
"O_CrtvImag","~","E_Scbltylag",0,3
"O_IntCur","~","E_Scbltylag",0,3
"O_AesSens","~","N_Anxtylag",0,3
"O_IntCur","~","N_Anxtylag",0,3
"C_Org","~","N_Depr",0,3
"C_Prdctv","~","N_Deprlag",0,3
"O_AesSens","~","N_Deprlag",0,3
"O_IntCur","~","N_Deprlag",0,3
"E_Assert","~","N_EmoVol",0,3
"E_EnerLev","~","N_EmoVol",0,3
"E_Scblty","~","N_EmoVol",0,3
"A_Trust","~","N_EmoVollag",0,3
"E_Assert","~","N_EmoVollag",0,3
"C_Org","~","O_AesSens",0,3
"E_EnerLev","~","O_AesSens",0,3
"N_Depr","~","O_AesSens",0,3
"O_IntCur","~","O_AesSens",0,3
"E_Assert","~","O_AesSenslag",0,3
"O_IntCur","~","O_AesSenslag",0,3
"O_AesSens","~","O_CrtvImag",0,3
"A_Rspct","~","O_CrtvImaglag",0,3
"A_Trust","~","O_CrtvImaglag",0,3
"C_Prdctv","~","O_CrtvImaglag",0,3
"N_Anxty","~","O_CrtvImaglag",0,3
"A_Trust","~","O_IntCur",0,3
"C_Prdctv","~","O_IntCur",0,3
"C_Rspnbl","~","O_IntCur",0,3
"C_Org","~","O_IntCurlag",0,3
"N_Anxty","~","O_IntCurlag",0,3
"N_Anxty","~","A_Cmpnlag",0,2
"C_Rspnbl","~","A_Rspct",0,2
"E_Scblty","~","A_Rspct",0,2
"C_Org","~","A_Rspctlag",0,2
"N_Anxty","~","A_Rspctlag",0,2
"N_Depr","~","A_Rspctlag",0,2
"O_AesSens","~","A_Trust",0,2
"O_IntCur","~","A_Trustlag",0,2
"E_EnerLev","~","C_Orglag",0,2
"A_Trust","~","C_Prdctvlag",0,2
"N_Anxty","~","C_Prdctvlag",0,2
"N_Depr","~","C_Prdctvlag",0,2
"O_CrtvImag","~","C_Rspnbllag",0,2
"O_IntCur","~","C_Rspnbllag",0,2
"N_Anxty","~","E_Assert",0,2
"N_Depr","~","E_Assert",0,2
"C_Prdctv","~","E_Assertlag",0,2
"O_IntCur","~","E_Assertlag",0,2
"O_AesSens","~","E_EnerLev",0,2
"A_Cmpn","~","E_EnerLevlag",0,2
"A_Trust","~","E_EnerLevlag",0,2
"C_Prdctv","~","E_Scbltylag",0,2
"E_EnerLev","~","E_Scbltylag",0,2
"N_Anxty","~","E_Scbltylag",0,2
"C_Prdctv","~","N_Anxty",0,2
"A_Rspct","~","N_Anxtylag",0,2
"C_Prdctv","~","N_Anxtylag",0,2
"O_IntCur","~","N_Depr",0,2
"O_CrtvImag","~","N_Deprlag",0,2
"C_Org","~","N_EmoVol",0,2
"C_Prdctv","~","N_EmoVol",0,2
"O_AesSens","~","N_EmoVol",0,2
"A_Cmpn","~","N_EmoVollag",0,2
"C_Prdctv","~","N_EmoVollag",0,2
"E_Scblty","~","N_EmoVollag",0,2
"N_Depr","~","N_EmoVollag",0,2
"O_CrtvImag","~","N_EmoVollag",0,2
"C_Prdctv","~","O_AesSens",0,2
"C_Rspnbl","~","O_AesSens",0,2
"E_Assert","~","O_AesSens",0,2
"C_Org","~","O_CrtvImag",0,2
"C_Prdctv","~","O_CrtvImag",0,2
"A_Cmpn","~","O_CrtvImaglag",0,2
"C_Org","~","O_CrtvImaglag",0,2
"A_Rspct","~","O_IntCur",0,2
"N_EmoVol","~","O_IntCurlag",0,2
"E_EnerLev","~","A_Cmpn",0,1
"A_Rspct","~","A_Cmpnlag",0,1
"C_Prdctv","~","A_Rspct",0,1
"N_Anxty","~","C_Org",0,1
"O_CrtvImag","~","C_Org",0,1
"O_IntCur","~","C_Orglag",0,1
"A_Trust","~","C_Prdctv",0,1
"A_Trust","~","C_Rspnbl",0,1
"O_AesSens","~","E_Assert",0,1
"A_Trust","~","E_Assertlag",0,1
"O_CrtvImag","~","E_Assertlag",0,1
"O_IntCur","~","N_Anxty",0,1
"C_Org","~","N_Deprlag",0,1
"A_Cmpn","~","N_EmoVol",0,1
"N_Anxty","~","N_EmoVollag",0,1
"A_Cmpn","~","O_AesSens",0,1
"N_Anxty","~","O_AesSens",0,1
"C_Prdctv","~","O_AesSenslag",0,1
"N_Anxty","~","O_AesSenslag",0,1
"E_Assert","~","O_CrtvImag",0,1
"N_Depr","~","O_CrtvImag",0,1
"O_IntCur","~","O_CrtvImaglag",0,1
"N_Anxty","~","O_IntCur",0,1
"C_Prdctv","~","O_IntCurlag",0,1
